evt,player_id_2,id,perceived_at,game_id,event_type,event_index,inning,top_of_inning,outs_before_play,batter_id,batter_team_id,pitcher_id,pitcher_team_id,home_score,away_score,home_strike_count,away_strike_count,batter_count,pitches,total_strikes,total_balls,total_fouls,is_leadoff,is_pinch_hit,lineup_position,is_last_event_for_plate_appearance,bases_hit,runs_batted_in,is_sacrifice_hit,is_sacrifice_fly,outs_on_play,is_double_play,is_triple_play,is_wild_pitch,batted_ball_type,is_bunt,errors_on_play,batter_base_after_play,is_last_game_event,event_text,additional_context,season,day,parsing_error,parsing_error_list,fixed_error,fixed_error_list,home_ball_count,away_ball_count,away_base_count,home_base_count,tournament,game_id-2,day-2,season-2,last_game_event,home_odds,away_odds,weather,series_index,series_length,is_postseason,home_team,away_team,home_score-2,away_score-2,number_of_innings,ended_on_top_of_inning,ended_in_shame,terminology_id,rules_id,statsheet_id,winning_pitcher_id,losing_pitcher_id,tournament-2,outcomes,team_roster_id,team_id,position_id,valid_from,valid_until,player_id,position_type_id,tournament-3,id-2,player_id-2,valid_from-2,valid_until-2,player_name,deceased,hash,anticapitalism,base_thirst,buoyancy,chasiness,coldness,continuation,divinity,ground_friction,indulgence,laserlikeness,martyrdom,moxie,musclitude,omniscience,overpowerment,patheticism,ruthlessness,shakespearianism,suppression,tenaciousness,thwackability,tragicness,unthwackability,watchfulness,pressurization,cinnamon,total_fingers,soul,fate,peanut_allergy,armor,bat,ritual,coffee,blood,url_slug,tournament-4,evolution,batting_rating,pitching_rating,baserunning_rating,defense_rating
Reality flickers in the feedback. Things look different ... Thomas Kirby is now up to bat.,c0177f76-67fc-4316-b650-894159dede45,83895,2020-08-24 19:19:30.21,9b26923f-63e1-4cee-b99d-4774346eac85,SINGLE,53,6,False,2,f73009c5-2ede-4dc4-b96d-84ba93c8a429,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,042962c8-4d8b-44a6-b854-6ccef3d82716,b024e975-1c4a-4575-8936-a3754a08806a,5,0,3,3,0,"{B,X}",0,2,0,False,False,0,True,1,0,False,False,0,False,False,False,UNKNOWN,False,0,1,False,"{""Reality flickers in the feedback. Things look different ... Thomas Kirby is now up to bat."",""Ball. 2-0"",""Thomas Kirby hits a Single!""}",NULL,3,3,False,{},False,{},4,4,4,4,-1,9b26923f-63e1-4cee-b99d-4774346eac85,3,3,NULL,0.541813,0.458187,12,1,3,False,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,b024e975-1c4a-4575-8936-a3754a08806a,7,0,8,True,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,e8a7ebd7-5802-4e36-a0fc-a406ff7ec3fc,c182f33c-aea5-48a2-97ed-dc74fa29b3c0,042962c8-4d8b-44a6-b854-6ccef3d82716,-1,"{""Paula Mason and Thomas Kirby switched teams in the feedback!""}",36780,b024e975-1c4a-4575-8936-a3754a08806a,2,2020-07-30 19:14:38.651,2020-08-24 19:23:46.18,f73009c5-2ede-4dc4-b96d-84ba93c8a429,0,-1,154529,f73009c5-2ede-4dc4-b96d-84ba93c8a429,2020-08-09 07:23:36.613,2020-08-30 07:25:59.724,Thomas Kirby,False,80e7c10b-1e12-867b-06a8-0f8bb24efbf0,0.43742601419279,0.329132891238831,0.289741250799223,0.939115628980737,0.595615934495115,0.758611850151808,0.831742883493471,0.57602822458879,0.476367015715254,0.242735400937032,0.295197718000257,0.908540933587591,0.373174356273905,0.837400745567063,0.076576814853493,0.826574963050801,0.320937138881012,0.49397810973328,0.765199803473345,0.29700622358326,0.241696516689142,0.1,0.850394295590982,0.497130500656114,0.627094178976612,0.740273517698414,10,7,89,True,,,Getting taped up,5,12,thomas-kirby,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Penelope Mathews is now up to bat.,80de2b05-e0d4-4d33-9297-9951b2b5c950,99103,2020-08-25 06:19:12.262,ae931be2-ce6c-4cca-9ecb-74b5d147cc06,WALK,53,5,True,1,0c83e3b6-360e-4b7d-85e3-d906633c9ca0,36569151-a2fb-43c1-9df7-2df512424c82,2da49de2-34e5-49d0-b752-af2a2ee061be,7966eb04-efcc-499b-8f03-d13916330531,2,7,3,3,0,"{F,B,B,B}",1,4,1,False,False,0,True,0,0,False,False,0,False,False,False,NULL,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Penelope Mathews is now up to bat."",""Foul Ball. 1-1"",""Ball. 2-1"",""Ball. 3-1"",""Penelope Mathews draws a walk.""}",NULL,3,14,False,{},False,{},4,4,4,4,-1,ae931be2-ce6c-4cca-9ecb-74b5d147cc06,14,3,NULL,0.406469,0.593531,12,3,3,False,7966eb04-efcc-499b-8f03-d13916330531,36569151-a2fb-43c1-9df7-2df512424c82,2,10,8,False,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,ee33b38c-fd99-43cc-bc76-9d5e262cb6b8,18af933a-4afa-4cba-bda5-45160f3af99b,2da49de2-34e5-49d0-b752-af2a2ee061be,-1,"{""Alyssa Harrell and Penelope Mathews switched teams in the feedback!""}",36430,7966eb04-efcc-499b-8f03-d13916330531,5,2020-07-29 08:12:22.438,2020-08-25 06:21:44.203,0c83e3b6-360e-4b7d-85e3-d906633c9ca0,0,-1,154634,0c83e3b6-360e-4b7d-85e3-d906633c9ca0,2020-08-09 07:23:37.234,2020-08-30 07:26:01.225,Penelope Mathews,False,c248202c-f50f-20fa-21c4-46f155d33ca6,0.087054392604818,0.918918325974117,0.014614751225635,0.265004519975029,0.386184125169985,0.513706264844488,0.024266083498529,0.397766479809083,0.081939214228912,0.617046887734073,0.881738241184197,0.777969355869741,0.11951611913953,0.77178177086907,0.842170710504179,0.462458900549666,0.682849062395471,0.919439622495061,0.453223350978606,0.398548847695954,0.408653198804909,0.1,0.619836331250102,0.362619399676982,0.929792610740477,0.008005292524627,10,2,72,True,,,Whispering,11,1,penelope-mathews,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Valentine Games is now up to bat.,90c2cec7-0ed5-426a-9de8-754f34d59b39,107351,2020-08-25 16:18:11.811,1e475551-41d7-488c-a420-4007ec93e89d,WALK,59,7,True,0,c675fcdf-6117-49a6-ac32-99a89a3a88aa,a37f9158-7f82-46bc-908c-c9e2dda7c33b,f70dd57b-55c4-4a62-a5ea-7cc4bf9d8ac1,8d87c468-699a-47a8-b40d-cfb73a5660ad,4,3,3,3,0,"{C,B,B,F,B}",2,4,1,False,False,0,True,0,0,False,False,0,False,False,False,NULL,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Valentine Games is now up to bat."",""Strike, looking. 1-2"",""Ball. 2-2"",""Ball. 3-2"",""Foul Ball. 3-2"",""Valentine Games draws a walk.""}",NULL,3,24,False,{},False,{},4,4,4,4,-1,1e475551-41d7-488c-a420-4007ec93e89d,24,3,NULL,0.51269,0.48731,12,1,3,False,8d87c468-699a-47a8-b40d-cfb73a5660ad,a37f9158-7f82-46bc-908c-c9e2dda7c33b,4,3,8,True,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,5b16cadd-c129-4c95-bf39-b5966339b125,f70dd57b-55c4-4a62-a5ea-7cc4bf9d8ac1,f4a5d734-0ade-4410-abb6-c0cd5a7a1c26,-1,"{""Tot Fox and Valentine Games switched teams in the feedback!""}",36476,8d87c468-699a-47a8-b40d-cfb73a5660ad,1,2020-07-29 08:12:22.438,2020-08-25 16:28:28.018,c675fcdf-6117-49a6-ac32-99a89a3a88aa,0,-1,154718,c675fcdf-6117-49a6-ac32-99a89a3a88aa,2020-08-09 07:23:37.743,2020-08-30 07:25:57.893,Valentine Games,False,b1601ebd-a9cd-d84a-aafa-caf7387608d6,0.378523163252801,0.357400973716063,0.537787365255064,0.300280233921331,0.230650493532215,1.04711943488835,0.70223257176634,1.10590129828414,0.916069244710095,0.768519633607987,1.0060244673126,0.770397296791986,1.12798586587868,1.17625306360935,0.93612186840484,0.527732291346289,0.768268557458621,0.447571234448329,0.756858566480691,0.537808694597797,0.525198844161879,0.1,0.641396564742897,0.274515719447306,0.268440880173828,0.805553968495108,11,2,86,False,,,Blacking out,9,12,valentine-games,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Joe Voorhees is now up to bat.,bd4c6837-eeaa-4675-ae48-061efa0fd11a,101572,2020-08-25 19:08:15.438,db128017-3264-439d-9366-04189b7a58ab,SINGLE,23,2,False,0,1f145436-b25d-49b9-a1e3-2d3c91626211,bfd38797-8404-4b38-8b82-341da28b1f83,a691f2ba-9b69-41f8-892c-1acd42c336e4,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0,4,3,3,0,{X},0,0,0,False,False,0,True,1,0,False,False,0,False,False,False,UNKNOWN,False,0,1,False,"{""Reality flickers in the feedback. Things look different ... Joe Voorhees is now up to bat."",""Joe Voorhees hits a Single!""}",NULL,3,27,False,{},False,{},4,4,4,4,-1,db128017-3264-439d-9366-04189b7a58ab,27,3,NULL,0.390312,0.609688,12,1,3,False,bfd38797-8404-4b38-8b82-341da28b1f83,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,4,12,8,False,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,1c85f144-5f3a-41b0-833f-0c96b8d4e3e3,a691f2ba-9b69-41f8-892c-1acd42c336e4,36786f44-9066-4028-98d9-4fa84465ab9e,-1,"{""Workman Gloom and Joe Voorhees switched teams in the feedback!""}",36729,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,4,2020-07-29 08:12:22.438,2020-08-25 19:15:35.994,1f145436-b25d-49b9-a1e3-2d3c91626211,0,-1,154989,1f145436-b25d-49b9-a1e3-2d3c91626211,2020-08-09 19:27:45.1,2020-08-30 07:26:00.228,Joe Voorhees,False,cf992f81-9ed0-fc3d-0e83-aa90c4810e45,0.931758198053109,0.449222325422796,0.465355083406534,0.522413867810437,0.297294580352672,0.557437943450791,0.907038565719862,0.132435347464467,0.900314628385167,0.507115849898283,0.450451587638519,0.368163205671209,0.031664221589624,0.727675918023932,0.980948336064848,0.121517181024099,0.279910676495001,0.226085787452102,0.272800712438027,0.894865882097868,0.257590476196375,0.1,0.719711514207545,0.30333794047095,0.057226705184829,0.860742461993834,10,9,44,True,,,Synchronizing,10,9,joe-voorhees,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Avila Guzman is now up to bat.,bbf9543f-f100-445a-a467-81d7aab12236,112675,2020-08-26 03:17:47.365,470e4879-bfc1-42a7-84a6-855ed65c1c05,WALK,54,7,True,1,8cf78b49-d0ca-4703-88e8-4bcad26c44b1,b63be8c2-576a-4d6e-8daf-814f8bcea96f,c6a277c3-d2b5-4363-839b-950896a5ec5e,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,2,0,3,3,0,"{B,B}",0,4,0,False,False,0,True,0,0,False,False,0,False,False,False,NULL,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Avila Guzman is now up to bat."",""Ball. 3-0"",""Avila Guzman draws a walk.""}",NULL,3,35,False,{},False,{},4,4,4,4,-1,470e4879-bfc1-42a7-84a6-855ed65c1c05,35,3,NULL,0.432968,0.567032,12,3,3,False,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,b63be8c2-576a-4d6e-8daf-814f8bcea96f,2,1,8,True,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,71183bf3-9157-4afb-9412-4df50bff5d06,c6a277c3-d2b5-4363-839b-950896a5ec5e,af6b3edc-ed52-4edc-b0c9-14e0a5ae0ee3,-1,"{""Farrell Seagull and Avila Guzman switched teams in the feedback!""}",36277,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,2,2020-07-29 08:12:22.438,2020-08-26 03:21:04.279,8cf78b49-d0ca-4703-88e8-4bcad26c44b1,0,-1,155017,8cf78b49-d0ca-4703-88e8-4bcad26c44b1,2020-08-09 19:27:46.717,2020-08-30 07:25:57.372,Avila Guzman,False,9ae04aaf-a261-88e2-bfd6-f796cea707c2,0.901958989795779,0.136919707588497,0.396923130314608,0.692325778639229,0.070863317898825,0.232864461996319,1.0260928090772,0.285473297245089,0.86953873432684,1.03337592270162,0.41464934025796,0.959524559305861,0.726664291248018,0.899746769095446,0.056214715112461,0.598296962287115,0.100722911551169,0.933441603395497,0.63844544385601,0.266779391020346,0.079091535834146,0.1,0.161059426486136,0.779020833527875,0.539655192748736,0.869231132155598,10,4,29,False,,,Summoning circle,6,12,avila-guzman,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Yeong-Ho Benitez is now up to bat.,06ced607-7f96-41e7-a8cd-b501d11d1a7e,111443,2020-08-26 04:11:43.64,f6391c28-c342-4772-bf6a-bf82e86b53ed,STRIKEOUT,30,3,False,2,ecb8d2f5-4ff5-4890-9693-5654e00055f6,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,d2d76815-cbdc-4c4b-9c9e-32ebf2297cc7,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,1,1,3,3,0,"{C,B,B,C,S}",3,2,0,False,False,0,True,0,0,False,False,1,False,False,False,NULL,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Yeong-Ho Benitez is now up to bat."",""Strike, looking. 0-1"",""Ball. 1-1"",""Ball. 2-1"",""Strike, looking. 2-2"",""Yeong-Ho Benitez struck out swinging.""}",NULL,3,36,False,{},False,{},4,4,4,4,-1,f6391c28-c342-4772-bf6a-bf82e86b53ed,36,3,NULL,0.540032,0.459968,12,1,3,False,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,5,7,8,False,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,2b0c38de-b548-4fd2-8feb-bfd1644e5e69,d2d76815-cbdc-4c4b-9c9e-32ebf2297cc7,2ae8cbfc-2155-4647-9996-3f2591091baf,-1,"{""Morrow Wilson and Yeong-Ho Benitez switched teams in the feedback!""}",36531,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,6,2020-07-29 08:12:22.438,2020-08-26 04:21:38.294,ecb8d2f5-4ff5-4890-9693-5654e00055f6,0,-1,154876,ecb8d2f5-4ff5-4890-9693-5654e00055f6,2020-08-09 07:23:38.236,2020-08-30 07:26:00.713,Yeong-Ho Benitez,False,6c0c6cbb-c433-42eb-f495-62adb1658a98,0.249941914730319,0.768815804456167,0.246921964822006,0.49319926028123,0.005193130644668,0.253815416927908,0.545948807696137,0.304472750689132,0.568768812607591,0.017536401563844,0.876391433753283,0.297245001265891,0.240178582562796,0.851563114655277,0.330503974462973,0.576229828054337,0.661832092625046,0.25949893762176,0.248012782107189,0.508781852625212,0.308462122454667,0.1,0.113489911016273,0.012065678382094,0.548516250138737,0.747830107114747,10,6,14,True,,,Blacking out,6,9,yeongho-benitez,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Spears Taylor is now up to bat.,083d09d4-7ed3-4100-b021-8fbe30dd43e8,108506,2020-08-26 10:00:38.646,4d247607-b807-494b-a3dc-6cd973cad336,OUT,2,0,True,2,13a05157-6172-4431-947b-a058217b4aa5,747b8e4a-7e50-4638-a973-ea7950a3e739,b082ca6e-eb11-4eab-8d6a-30f8be522ec4,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0,0,3,3,0,"{B,B,S,B,X}",1,3,0,False,False,0,True,0,0,False,False,1,False,False,False,GROUNDER,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Spears Taylor is now up to bat."",""Ball. 1-0"",""Ball. 2-0"",""Strike, swinging. 2-1"",""Ball. 3-1"",""Spears Taylor hit a ground out to Peanut Holloway.""}",NULL,3,42,False,{},False,{},4,4,4,4,-1,4d247607-b807-494b-a3dc-6cd973cad336,42,3,NULL,0.380535,0.619465,12,1,3,False,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,747b8e4a-7e50-4638-a973-ea7950a3e739,3,1,9,False,True,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,c0ce2d31-cdbc-4578-8f13-a12b4dffafab,b082ca6e-eb11-4eab-8d6a-30f8be522ec4,2720559e-9173-4042-aaa0-d3852b72ab2e,-1,"{""Jessica Telephone and Spears Taylor switched teams in the feedback!""}",36302,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,2,2020-07-29 08:12:22.438,2020-08-26 10:10:24.291,13a05157-6172-4431-947b-a058217b4aa5,0,-1,154685,13a05157-6172-4431-947b-a058217b4aa5,2020-08-09 07:23:37.743,2020-08-30 07:26:02.26,Spears Taylor,False,beb025a3-ce93-f737-7b89-4dc963403d17,0.949184484777315,0.01,0.70929499903703,0.80364973093481,0.117866509132459,0.671499286762633,0.136376030891363,0.238615939471198,0.727708179773038,0.099845660706994,0.563423435876502,0.393354505130081,0.634543356843676,0.396934451431547,0.01,0.640439099199945,0.51552822417446,0.130668533127487,0.456526428038479,0.804012384964312,0.206521716299824,0.1,0.252485628140122,0.774447927890257,0.741863202610898,0.664727890008887,11,8,5,True,,,Playing pranks,13,4,spears-taylor,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Vito Kravitz is now up to bat.,75f9d874-5e69-438d-900d-a3fcb1d429b3,120526,2020-08-26 21:18:44.675,be9bd446-ae97-46eb-bee3-ce6c793d615b,OUT,40,5,True,0,2e13249e-38ff-46a2-a55e-d15fa692468a,878c1bf6-0d21-4659-bfee-916c8314d69c,24f6829e-7bb4-4e1e-8b59-a07514657e72,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,2,1,3,3,0,"{C,B,B,X}",1,2,0,False,False,0,True,0,0,False,False,1,False,False,False,GROUNDER,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Vito Kravitz is now up to bat."",""Strike, looking. 0-1"",""Ball. 1-1"",""Ball. 2-1"",""Vito Kravitz hit a ground out to Caligula Lotus.""}",NULL,3,53,False,{},False,{},4,4,4,4,-1,be9bd446-ae97-46eb-bee3-ce6c793d615b,53,3,NULL,0.600662,0.399338,12,3,3,False,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,878c1bf6-0d21-4659-bfee-916c8314d69c,2,3,8,False,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,66d36ad6-c6ae-4056-ac3f-c07ffb206de1,f741dc01-2bae-4459-bfc0-f97536193eea,24f6829e-7bb4-4e1e-8b59-a07514657e72,-1,"{""Moses Mason and Vito Kravitz switched teams in the feedback!""}",36816,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,8,2020-08-07 07:12:30.605,2020-08-26 21:33:59.432,2e13249e-38ff-46a2-a55e-d15fa692468a,0,-1,154590,2e13249e-38ff-46a2-a55e-d15fa692468a,2020-08-09 07:23:37.02,2020-08-30 07:25:58.947,Vito Kravitz,False,0ed21312-528f-1957-3763-bebca7922880,0.837532361517352,0.186240534809295,0.274225558276544,0.169418353209396,0.754734016965395,0.322932660075383,0.171729710922094,0.030046107211242,0.862773840206909,0.171638042867219,0.878831557257088,0.257970323942518,0.308460372986439,0.836549824137734,0.231390187991249,0.744257552328485,0.379010868748045,0.036281101320649,0.493120797410062,0.653938777872395,0.327768284154599,0.1,0.433820259048832,0.85167988169838,0.387348725516309,0.232773834783968,10,4,16,False,,,Blood transfusion,11,1,vito-kravitz,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Hotbox Sato is now up to bat.,18798b8f-6391-4cb2-8a5f-6fb540d646d5,127078,2020-08-27 01:10:07.424,450e7233-bfc1-4239-8e57-360e442947b1,WALK,25,2,False,0,2175cda0-a427-40fd-b497-347edcc1cd61,bfd38797-8404-4b38-8b82-341da28b1f83,dfd5ccbb-90ed-4bfe-83e0-dae9cc763f10,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,2,2,3,3,0,"{B,B,C,B}",1,4,0,False,False,0,True,0,0,False,False,0,False,False,False,NULL,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Hotbox Sato is now up to bat."",""Ball. 2-0"",""Ball. 3-0"",""Strike, looking. 3-1"",""Hotbox Sato draws a walk.""}",NULL,3,57,False,{},False,{},4,4,4,4,-1,450e7233-bfc1-4239-8e57-360e442947b1,57,3,NULL,0.430748,0.569252,12,1,3,False,bfd38797-8404-4b38-8b82-341da28b1f83,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,8,3,8,True,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,8be620cc-f4ce-44e3-a080-0145362c0ef6,36786f44-9066-4028-98d9-4fa84465ab9e,36786f44-9066-4028-98d9-4fa84465ab9e,-1,"{""Morrow Doyle and Hotbox Sato switched teams in the feedback!""}",36794,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0,2020-08-03 23:24:34.914,2020-08-27 01:14:59.173,2175cda0-a427-40fd-b497-347edcc1cd61,0,-1,154586,2175cda0-a427-40fd-b497-347edcc1cd61,2020-08-09 07:23:37.02,2020-08-30 07:26:00.228,Hotbox Sato,False,f0850d29-bf1c-4593-20f3-0451060257c2,0.273733462146969,0.612177328543006,0.661371201433028,0.35188334290123,0.250015841793978,0.086209613302238,0.073162618105305,0.643203398437657,0.357516397371509,0.079658881580403,0.417154449673717,0.041800780026202,0.993570077384294,0.298659634221154,0.759325863595535,0.590833125463081,0.089249560950363,0.792104353612753,0.133032039797472,0.824978415672591,0.617422065304477,0.1,0.50759010446224,0.291962127192989,0.909802670093528,0.913944167561018,10,9,82,False,,,Research,13,11,hotbox-sato,-1,0,-1,-1,-1,-1
Reality flickers in the feedback. Things look different ... Baldwin Breadwinner is now up to bat.,c755efce-d04d-4e00-b5c1-d801070d3808,141753,2020-08-28 11:10:35.074,968f7d96-ca35-45ac-ab68-4e1e541605fe,STRIKEOUT,27,3,False,1,e4034192-4dc6-4901-bb30-07fe3cf77b5e,979aee4a-6d80-4863-bf1c-ee1a78e06024,0bb35615-63f2-4492-80ec-b6b322dc5450,878c1bf6-0d21-4659-bfee-916c8314d69c,1,1,3,3,0,{S},3,1,0,False,False,0,True,0,0,False,False,1,False,False,False,NULL,False,0,0,False,"{""Reality flickers in the feedback. Things look different ... Baldwin Breadwinner is now up to bat."",""Baldwin Breadwinner struck out swinging.""}",NULL,3,81,False,{},False,{},4,4,4,4,-1,968f7d96-ca35-45ac-ab68-4e1e541605fe,81,3,NULL,0,0,12,1,3,False,979aee4a-6d80-4863-bf1c-ee1a78e06024,878c1bf6-0d21-4659-bfee-916c8314d69c,0,0,0,True,False,b67e9bbb-1495-4e1b-b517-f1444b0a6c8b,4ae9d46a-5408-460a-84fb-cbd8d03fff6c,0c0d8a13-0af6-4e5e-9cb6-d2afb42aa19b,a5f8ce83-02b2-498c-9e48-533a1d81aebf,0bb35615-63f2-4492-80ec-b6b322dc5450,-1,{},36455,878c1bf6-0d21-4659-bfee-916c8314d69c,5,2020-07-29 08:12:22.438,2020-08-28 11:16:51.602,e4034192-4dc6-4901-bb30-07fe3cf77b5e,0,-1,155050,e4034192-4dc6-4901-bb30-07fe3cf77b5e,2020-08-12 22:10:51.203,2020-08-28 15:19:34.297,Baldwin Breadwinner,False,99e34803-d3cf-5603-a1a2-7810e2f8c1df,1,0.920939175149553,0.601755105778919,0.208334702293168,0.966027606715976,0.078967145135609,0.802972285566651,0.964294859728209,0.872376828336776,0.554740667251218,0.964079408758461,0.485234911600495,0.880608000254283,0.515126705436386,0.054979596004362,0.791529881887444,0.552225286141827,0.807872664130932,0.630980998585343,0.075474037708273,0.049724958975286,0.1,0.743073084125119,0.846632275820759,0.516830024567993,0.869123923174917,10,8,39,True,,,Gaming,7,6,baldwin-breadwinner,-1,0,-1,-1,-1,-1
