"season","day","perceived_at"
-1,8,"2020-11-25 01:31:15.60249"
1,107,"2020-08-01 21:25:51.29"
2,8,"2020-08-04 03:29:06.268"
2,17,"2020-08-04 12:28:54.734"
2,26,"2020-08-04 21:35:35.983"
2,35,"2020-08-05 06:38:13.783"
2,44,"2020-08-05 15:34:32.867"
2,53,"2020-08-06 00:30:17.974"
2,62,"2020-08-06 10:41:47.382"
2,71,"2020-08-06 19:29:21.295"
2,80,"2020-08-07 06:32:32.255"
2,89,"2020-08-07 15:31:43.686"
2,98,"2020-08-08 04:34:32.691"
2,107,"2020-08-08 21:27:43.501"
3,8,"2020-08-25 00:34:47.909"
3,17,"2020-08-25 09:30:02.693"
3,26,"2020-08-25 18:53:44.48"
3,35,"2020-08-26 03:42:37.015"
3,44,"2020-08-26 12:32:10.072"
3,53,"2020-08-26 21:37:54.168"
3,62,"2020-08-27 16:32:54.239"
3,80,"2020-08-28 10:36:26.443"
3,89,"2020-08-28 22:32:23.375"
3,98,"2020-08-29 08:05:26.481"
3,107,"2020-08-29 21:49:39.937"
4,8,"2020-09-01 00:33:44.599"
4,17,"2020-09-01 09:31:24.325"
4,26,"2020-09-01 18:32:06.237"
4,35,"2020-09-02 03:30:33.623"
4,44,"2020-09-02 12:43:29.178"
4,53,"2020-09-02 21:34:01.052"
4,62,"2020-09-03 06:40:40.383"
4,71,"2020-09-03 15:34:03.993"
4,80,"2020-09-04 00:37:51.719"
4,89,"2020-09-04 09:33:21.497"
4,98,"2020-09-04 18:31:30.168"
4,107,"2020-09-05 21:35:04.201"
5,8,"2020-09-08 00:42:03.49"
5,17,"2020-09-08 09:30:45.485"
5,26,"2020-09-08 18:34:48.853"
5,35,"2020-09-09 03:33:54.548"
5,44,"2020-09-09 12:32:25.199"
5,53,"2020-09-09 21:29:54.413"
5,62,"2020-09-10 06:30:56.207"
5,71,"2020-09-10 15:34:10.555"
5,80,"2020-09-11 00:30:55.81"
5,89,"2020-09-11 09:30:09.389"
5,98,"2020-09-11 18:39:49.298"
5,107,"2020-09-12 21:23:06.951"
6,8,"2020-09-15 00:31:34.61"
6,17,"2020-09-15 09:29:57.114"
6,26,"2020-09-15 18:30:53.099"
6,35,"2020-09-16 04:33:47.475"
6,44,"2020-09-16 13:39:52.832"
6,53,"2020-09-16 22:28:56.632"
6,62,"2020-09-17 07:43:59.149"
6,71,"2020-09-17 16:39:09.185"
6,80,"2020-09-18 01:28:52.007"
6,89,"2020-09-18 11:27:16.086"
6,98,"2020-09-18 20:53:37.57"
6,107,"2020-09-19 21:24:10.752"
7,8,"2020-09-22 00:41:52.072"
7,17,"2020-09-22 09:30:37.048"
7,26,"2020-09-22 18:31:28.894"
7,35,"2020-09-23 03:27:51.571257"
7,44,"2020-09-23 12:28:13.106216"
7,53,"2020-09-23 21:32:14.069"
7,62,"2020-09-24 06:30:08.10533"
7,71,"2020-09-24 15:30:18.701989"
7,80,"2020-09-25 00:30:13.625308"
7,89,"2020-09-25 09:29:46.537"
7,98,"2020-09-25 18:29:40.610635"
7,107,"2020-09-26 21:25:36.802"
8,8,"2020-10-06 00:30:33.118519"
8,17,"2020-10-06 09:27:21.149975"
8,26,"2020-10-06 18:34:20.187"
8,35,"2020-10-07 03:29:25.124849"
8,44,"2020-10-07 12:40:55.110722"
8,53,"2020-10-07 21:31:33.181454"
8,62,"2020-10-08 06:29:23.109203"
8,71,"2020-10-08 15:30:03.615729"
8,80,"2020-10-09 00:29:19.12287"
8,89,"2020-10-09 09:55:45.152064"
8,98,"2020-10-09 18:43:30.316721"
8,107,"2020-10-10 18:26:33.403158"
9,8,"2020-10-13 00:31:25.610236"
9,17,"2020-10-13 09:36:07.609741"
9,26,"2020-10-13 19:04:37.112865"
9,35,"2020-10-14 04:34:57.608939"
9,44,"2020-10-14 13:34:45.609788"
9,53,"2020-10-14 22:29:31.617652"
9,62,"2020-10-15 07:29:53.610736"
9,71,"2020-10-15 16:38:35.6133"
9,80,"2020-10-16 01:34:05.615191"
9,89,"2020-10-16 10:36:49.608944"
9,98,"2020-10-16 19:30:42.604295"
9,107,"2020-10-17 19:28:57.61233"
10,8,"2020-10-20 00:34:36.608212"
10,17,"2020-10-20 09:33:25.606884"
10,26,"2020-10-20 18:33:32.118896"
10,35,"2020-10-21 04:46:42.61031"
10,44,"2020-10-21 13:30:35.615046"
10,53,"2020-10-21 22:35:54.612161"
10,62,"2020-10-22 07:37:30.616189"
10,71,"2020-10-22 16:30:31.608224"
10,80,"2020-10-23 01:33:18.117239"
10,89,"2020-10-23 10:33:33.603615"
10,98,"2020-10-23 19:34:50.33281"
10,107,"2020-10-24 05:22:18.605778"
10,116,"2020-10-25 00:19:56.615895"
